Time (min)	Value (mAU)
1.053333	-0.011556
1.055	-0.013704
1.056667	-0.015936
1.058333	-0.018934
1.06	-0.024093
1.061667	-0.031792
1.063333	-0.040412
1.065	-0.047125
1.066667	-0.049484
1.068333	-0.046779
1.07	-0.040347
1.071667	-0.032411
1.073333	-0.024668
1.075	-0.018116
1.076667	-0.013726
1.078333	-0.012509
1.08	-0.014655
1.081667	-0.019038
1.083333	-0.023717
1.085	-0.026757
1.086667	-0.027299
1.088333	-0.026338
1.09	-0.025665
1.091667	-0.025779
1.093333	-0.025493
1.095	-0.023847
1.096667	-0.021568
1.098333	-0.020163
1.1	-0.020435
1.101667	-0.022257
1.103333	-0.025235
1.105	-0.02896
1.106667	-0.032659
1.108333	-0.035689
1.11	-0.038321
1.111667	-0.040957
1.113333	-0.042935
1.115	-0.043094
1.116667	-0.041157
1.118333	-0.03793
1.12	-0.034655
1.121667	-0.032099
1.123333	-0.029795
1.125	-0.026728
1.126667	-0.023084
1.128333	-0.020296
1.13	-0.019259
1.131667	-0.019972
1.133333	-0.022394
1.135	-0.025882
1.136667	-0.028994
1.138333	-0.030986
1.14	-0.031975
1.141667	-0.031703
1.143333	-0.030206
1.145	-0.028988
1.146667	-0.029541
1.148333	-0.031597
1.15	-0.033863
1.151667	-0.035345
1.153333	-0.035424
1.155	-0.033689
1.156667	-0.030216
1.158333	-0.025831
1.16	-0.021861
1.161667	-0.019409
1.163333	-0.01886
1.165	-0.019842
1.166667	-0.021515
1.168333	-0.023112
1.17	-0.024464
1.171667	-0.02625
1.173333	-0.029301
1.175	-0.033151
1.176667	-0.035943
1.178333	-0.03619
1.18	-0.034009
1.181667	-0.03062
1.183333	-0.02732
1.185	-0.024789
1.186667	-0.023061
1.188333	-0.022091
1.19	-0.022
1.191667	-0.022729
1.193333	-0.023888
1.195	-0.025084
1.196667	-0.026312
1.198333	-0.027765
1.2	-0.029244
1.201667	-0.030331
1.203333	-0.030955
1.205	-0.031193
1.206667	-0.031151
1.208333	-0.031353
1.21	-0.032279
1.211667	-0.033752
1.213333	-0.035427
1.215	-0.037185
1.216667	-0.038876
1.218333	-0.040249
1.22	-0.040914
1.221667	-0.040342
1.223333	-0.038436
1.225	-0.035802
1.226667	-0.033091
1.228333	-0.030538
1.23	-0.028235
1.231667	-0.026327
1.233333	-0.024882
1.235	-0.024185
1.236667	-0.02497
1.238333	-0.027316
1.24	-0.029778
1.241667	-0.030536
1.243333	-0.029283
1.245	-0.027385
1.246667	-0.026017
1.248333	-0.025172
1.25	-0.024404
1.251667	-0.023581
1.253333	-0.023105
1.255	-0.023141
1.256667	-0.023013
1.258333	-0.022181
1.26	-0.02094
1.261667	-0.019963
1.263333	-0.019846
1.265	-0.020997
1.266667	-0.023642
1.268333	-0.027574
1.27	-0.032136
1.271667	-0.03698
1.273333	-0.042165
1.275	-0.046895
1.276667	-0.048935
1.278333	-0.046309
1.28	-0.03942
1.281667	-0.030938
1.283333	-0.023701
1.285	-0.019218
1.286667	-0.017933
1.288333	-0.01971
1.29	-0.023877
1.291667	-0.029043
1.293333	-0.033097
1.295	-0.034442
1.296667	-0.033204
1.298333	-0.030817
1.3	-0.029025
1.301667	-0.029069
1.303333	-0.030923
1.305	-0.033421
1.306667	-0.035314
1.308333	-0.035981
1.31	-0.035666
1.311667	-0.035318
1.313333	-0.035534
1.315	-0.035995
1.316667	-0.036191
1.318333	-0.035831
1.32	-0.03477
1.321667	-0.033292
1.323333	-0.032269
1.325	-0.032784
1.326667	-0.035128
1.328333	-0.037759
1.33	-0.038453
1.331667	-0.037065
1.333333	-0.035809
1.335	-0.036729
1.336667	-0.039875
1.338333	-0.043663
1.34	-0.046291
1.341667	-0.047034
1.343333	-0.046602
1.345	-0.046248
1.346667	-0.046534
1.348333	-0.04703
1.35	-0.047088
1.351667	-0.046511
1.353333	-0.045223
1.355	-0.043008
1.356667	-0.040088
1.358333	-0.037117
1.36	-0.034566
1.361667	-0.032817
1.363333	-0.032423
1.365	-0.033811
1.366667	-0.036746
1.368333	-0.040118
1.37	-0.042719
1.371667	-0.044486
1.373333	-0.04643
1.375	-0.04913
1.376667	-0.052089
1.378333	-0.054579
1.38	-0.056102
1.381667	-0.056261
1.383333	-0.055012
1.385	-0.052893
1.386667	-0.050776
1.388333	-0.049184
1.39	-0.047617
1.391667	-0.045291
1.393333	-0.042302
1.395	-0.039212
1.396667	-0.036354
1.398333	-0.033902
1.4	-0.032021
1.401667	-0.031151
1.403333	-0.031778
1.405	-0.033484
1.406667	-0.035164
1.408333	-0.036632
1.41	-0.039234
1.411667	-0.044068
1.413333	-0.050008
1.415	-0.054557
1.416667	-0.056247
1.418333	-0.055341
1.42	-0.052892
1.421667	-0.049777
1.423333	-0.046432
1.425	-0.043307
1.426667	-0.041307
1.428333	-0.041452
1.43	-0.0441
1.431667	-0.048761
1.433333	-0.054391
1.435	-0.059589
1.436667	-0.063091
1.438333	-0.064456
1.44	-0.06401
1.441667	-0.06207
1.443333	-0.058616
1.445	-0.054078
1.446667	-0.049721
1.448333	-0.046312
1.45	-0.043578
1.451667	-0.041322
1.453333	-0.03934
1.455	-0.036965
1.456667	-0.034468
1.458333	-0.03369
1.46	-0.036125
1.461667	-0.04101
1.463333	-0.045521
1.465	-0.046847
1.466667	-0.044436
1.468333	-0.040294
1.47	-0.037097
1.471667	-0.036221
1.473333	-0.037243
1.475	-0.038514
1.476667	-0.038523
1.478333	-0.037367
1.48	-0.036454
1.481667	-0.036583
1.483333	-0.0372
1.485	-0.03759
1.486667	-0.037937
1.488333	-0.039307
1.49	-0.042789
1.491667	-0.048102
1.493333	-0.053179
1.495	-0.055472
1.496667	-0.053854
1.498333	-0.049582
1.5	-0.045277
1.501667	-0.042933
1.503333	-0.042969
1.505	-0.044667
1.506667	-0.046971
1.508333	-0.049041
1.51	-0.050603
1.511667	-0.051683
1.513333	-0.052058
1.515	-0.051342
1.516667	-0.049268
1.518333	-0.045803
1.52	-0.041756
1.521667	-0.03884
1.523333	-0.03829
1.525	-0.039809
1.526667	-0.042139
1.528333	-0.043945
1.53	-0.044243
1.531667	-0.043125
1.533333	-0.041865
1.535	-0.041676
1.536667	-0.042687
1.538333	-0.044239
1.54	-0.045956
1.541667	-0.048024
1.543333	-0.050362
1.545	-0.052385
1.546667	-0.0536
1.548333	-0.053873
1.55	-0.053314
1.551667	-0.051969
1.553333	-0.049633
1.555	-0.046418
1.556667	-0.043132
1.558333	-0.040455
1.56	-0.03841
1.561667	-0.037062
1.563333	-0.037121
1.565	-0.039466
1.566667	-0.043804
1.568333	-0.048044
1.57	-0.049961
1.571667	-0.049247
1.573333	-0.047136
1.575	-0.044894
1.576667	-0.043425
1.578333	-0.043145
1.58	-0.043816
1.581667	-0.045127
1.583333	-0.04719
1.585	-0.049998
1.586667	-0.052659
1.588333	-0.054006
1.59	-0.053963
1.591667	-0.05343
1.593333	-0.053006
1.595	-0.052687
1.596667	-0.052306
1.598333	-0.051375
1.6	-0.049112
1.601667	-0.04555
1.603333	-0.042231
1.605	-0.04099
1.606667	-0.042394
1.608333	-0.04569
1.61	-0.0495
1.611667	-0.052452
1.613333	-0.053819
1.615	-0.053609
1.616667	-0.052103
1.618333	-0.049714
1.62	-0.047072
1.621667	-0.044734
1.623333	-0.04299
1.625	-0.042242
1.626667	-0.042898
1.628333	-0.044842
1.63	-0.047619
1.631667	-0.050502
1.633333	-0.052359
1.635	-0.052305
1.636667	-0.050318
1.638333	-0.047228
1.64	-0.044179
1.641667	-0.041908
1.643333	-0.040552
1.645	-0.039794
1.646667	-0.039001
1.648333	-0.037651
1.65	-0.035938
1.651667	-0.034731
1.653333	-0.034618
1.655	-0.035377
1.656667	-0.036761
1.658333	-0.039009
1.66	-0.042012
1.661667	-0.045041
1.663333	-0.047531
1.665	-0.04941
1.666667	-0.050876
1.668333	-0.052081
1.67	-0.052843
1.671667	-0.052948
1.673333	-0.052525
1.675	-0.051882
1.676667	-0.051456
1.678333	-0.051805
1.68	-0.053259
1.681667	-0.05566
1.683333	-0.058305
1.685	-0.060368
1.686667	-0.061634
1.688333	-0.062284
1.69	-0.062043
1.691667	-0.060272
1.693333	-0.057081
1.695	-0.053962
1.696667	-0.05265
1.698333	-0.053414
1.7	-0.055232
1.701667	-0.057117
1.703333	-0.058209
1.705	-0.057594
1.706667	-0.05524
1.708333	-0.052246
1.71	-0.049938
1.711667	-0.049316
1.713333	-0.050894
1.715	-0.054279
1.716667	-0.057837
1.718333	-0.059453
1.72	-0.058297
1.721667	-0.055385
1.723333	-0.052015
1.725	-0.048527
1.726667	-0.045013
1.728333	-0.04225
1.73	-0.041154
1.731667	-0.042024
1.733333	-0.044705
1.735	-0.048676
1.736667	-0.052654
1.738333	-0.055041
1.74	-0.055353
1.741667	-0.05455
1.743333	-0.053796
1.745	-0.053279
1.746667	-0.052207
1.748333	-0.050027
1.75	-0.04732
1.751667	-0.045058
1.753333	-0.043607
1.755	-0.043063
1.756667	-0.043721
1.758333	-0.045736
1.76	-0.048789
1.761667	-0.051841
1.763333	-0.053332
1.765	-0.052339
1.766667	-0.049485
1.768333	-0.046305
1.77	-0.043813
1.771667	-0.042213
1.773333	-0.041585
1.775	-0.042101
1.776667	-0.043855
1.778333	-0.046821
1.78	-0.050785
1.781667	-0.054988
1.783333	-0.058479
1.785	-0.061086
1.786667	-0.062925
1.788333	-0.063667
1.79	-0.063325
1.791667	-0.062462
1.793333	-0.061293
1.795	-0.059784
1.796667	-0.058231
1.798333	-0.056793
1.8	-0.055187
1.801667	-0.0533
1.803333	-0.051445
1.805	-0.049884
1.806667	-0.048534
1.808333	-0.047339
1.81	-0.046649
1.811667	-0.046961
1.813333	-0.04835
1.815	-0.050527
1.816667	-0.053329
1.818333	-0.05642
1.82	-0.058967
1.821667	-0.060346
1.823333	-0.06073
1.825	-0.060757
1.826667	-0.060912
1.828333	-0.061087
1.83	-0.060663
1.831667	-0.059559
1.833333	-0.058793
1.835	-0.059013
1.836667	-0.059275
1.838333	-0.058212
1.84	-0.05539
1.841667	-0.05114
1.843333	-0.046143
1.845	-0.04145
1.846667	-0.03829
1.848333	-0.03754
1.85	-0.039397
1.851667	-0.043262
1.853333	-0.047775
1.855	-0.051402
1.856667	-0.053
1.858333	-0.051959
1.86	-0.048789
1.861667	-0.045518
1.863333	-0.044483
1.865	-0.046722
1.866667	-0.051415
1.868333	-0.056408
1.87	-0.059795
1.871667	-0.061225
1.873333	-0.061483
1.875	-0.061416
1.876667	-0.061415
1.878333	-0.061388
1.88	-0.061271
1.881667	-0.061442
1.883333	-0.062055
1.885	-0.062622
1.886667	-0.062762
1.888333	-0.062607
1.89	-0.062239
1.891667	-0.061361
1.893333	-0.059475
1.895	-0.056245
1.896667	-0.052074
1.898333	-0.048096
1.9	-0.045352
1.901667	-0.044242
1.903333	-0.04456
1.905	-0.045772
1.906667	-0.047166
1.908333	-0.04819
1.91	-0.049073
1.911667	-0.050375
1.913333	-0.052083
1.915	-0.054012
1.916667	-0.056251
1.918333	-0.058656
1.92	-0.060553
1.921667	-0.061171
1.923333	-0.060545
1.925	-0.059886
1.926667	-0.060383
1.928333	-0.061951
1.93	-0.063667
1.931667	-0.064636
1.933333	-0.064213
1.935	-0.062486
1.936667	-0.060439
1.938333	-0.058794
1.94	-0.057254
1.941667	-0.055212
1.943333	-0.05254
1.945	-0.04971
1.946667	-0.047732
1.948333	-0.04776
1.95	-0.050307
1.951667	-0.054667
1.953333	-0.058963
1.955	-0.061279
1.956667	-0.06133
1.958333	-0.06045
1.96	-0.059878
1.961667	-0.059963
1.963333	-0.060691
1.965	-0.061757
1.966667	-0.062339
1.968333	-0.061679
1.97	-0.059863
1.971667	-0.057955
1.973333	-0.057315
1.975	-0.058512
1.976667	-0.060916
1.978333	-0.063113
1.98	-0.06373
1.981667	-0.062154
1.983333	-0.058297
1.985	-0.052564
1.986667	-0.046699
1.988333	-0.043295
1.99	-0.043654
1.991667	-0.046811
1.993333	-0.050744
1.995	-0.054005
1.996667	-0.056363
1.998333	-0.058413
2	-0.060383
2.001667	-0.061541
2.003333	-0.061075
2.005	-0.059181
2.006667	-0.057224
2.008333	-0.056684
2.01	-0.058018
2.011667	-0.060889
2.013333	-0.064577
2.015	-0.067851
2.016667	-0.069658
2.018333	-0.069837
2.02	-0.068509
2.021667	-0.06579
2.023333	-0.06247
2.025	-0.059662
2.026667	-0.057701
2.028333	-0.056227
2.03	-0.054938
2.031667	-0.053735
2.033333	-0.052669
2.035	-0.051903
2.036667	-0.051214
2.038333	-0.049812
2.04	-0.047158
2.041667	-0.043602
2.043333	-0.039964
2.045	-0.036949
2.046667	-0.034728
2.048333	-0.032842
2.05	-0.03105
2.051667	-0.029994
2.053333	-0.030638
2.055	-0.033427
2.056667	-0.037897
2.058333	-0.042747
2.06	-0.046792
2.061667	-0.049868
2.063333	-0.052033
2.065	-0.052562
2.066667	-0.050949
2.068333	-0.048217
2.07	-0.046025
2.071667	-0.045115
2.073333	-0.045379
2.075	-0.04657
2.076667	-0.048313
2.078333	-0.049755
2.08	-0.049966
2.081667	-0.04886
2.083333	-0.047105
2.085	-0.045422
2.086667	-0.044266
2.088333	-0.043732
2.09	-0.043826
2.091667	-0.044691
2.093333	-0.046358
2.095	-0.048559
2.096667	-0.050802
2.098333	-0.052481
2.1	-0.052975
2.101667	-0.052032
2.103333	-0.050127
2.105	-0.048145
2.106667	-0.046876
2.108333	-0.046587
2.11	-0.047102
2.111667	-0.048468
2.113333	-0.050696
2.115	-0.053504
2.116667	-0.056934
2.118333	-0.060851
2.12	-0.064085
2.121667	-0.065347
2.123333	-0.064649
2.125	-0.063298
2.126667	-0.062775
2.128333	-0.063796
2.13	-0.066182
2.131667	-0.069342
2.133333	-0.072623
2.135	-0.075171
2.136667	-0.076026
2.138333	-0.074572
2.14	-0.070964
2.141667	-0.066098
2.143333	-0.061272
2.145	-0.057843
2.146667	-0.056316
2.148333	-0.055885
2.15	-0.055404
2.151667	-0.054218
2.153333	-0.052383
2.155	-0.050511
2.156667	-0.04908
2.158333	-0.048166
2.16	-0.047858
2.161667	-0.04851
2.163333	-0.050561
2.165	-0.053864
2.166667	-0.057201
2.168333	-0.059026
2.17	-0.058803
2.171667	-0.057457
2.173333	-0.056603
2.175	-0.057116
2.176667	-0.058315
2.178333	-0.058976
2.18	-0.059014
2.181667	-0.059381
2.183333	-0.060441
2.185	-0.061293
2.186667	-0.06104
2.188333	-0.060168
2.19	-0.060005
2.191667	-0.061474
2.193333	-0.064777
2.195	-0.069115
2.196667	-0.072865
2.198333	-0.074911
2.2	-0.075223
2.201667	-0.074435
2.203333	-0.073172
2.205	-0.071117
2.206667	-0.067533
2.208333	-0.063224
2.21	-0.060337
2.211667	-0.060076
2.213333	-0.061724
2.215	-0.063361
2.216667	-0.063153
2.218333	-0.060685
2.22	-0.057425
2.221667	-0.055616
2.223333	-0.056319
2.225	-0.058585
2.226667	-0.060701
