Time (min)	Value (mAU)
10.368333	0.191208
10.37	0.19049
10.371667	0.191187
10.373333	0.192782
10.375	0.194508
10.376667	0.195891
10.378333	0.19679
10.38	0.197028
10.381667	0.196725
10.383333	0.196547
10.385	0.19687
10.386667	0.19696
10.388333	0.195638
10.39	0.19294
10.391667	0.190337
10.393333	0.189172
10.395	0.189377
10.396667	0.189926
10.398333	0.190358
10.4	0.190999
10.401667	0.191964
10.403333	0.19299
10.405	0.193711
10.406667	0.193797
10.408333	0.193251
10.41	0.192429
10.411667	0.192041
10.413333	0.193101
10.415	0.196148
10.416667	0.200371
10.418333	0.203852
10.42	0.205134
10.421667	0.204431
10.423333	0.203004
10.425	0.202041
10.426667	0.202354
10.428333	0.204084
10.43	0.206588
10.431667	0.209268
10.433333	0.211717
10.435	0.213005
10.436667	0.212147
10.438333	0.20906
10.44	0.204441
10.441667	0.199162
10.443333	0.194053
10.445	0.189949
10.446667	0.18765
10.448333	0.187707
10.45	0.18996
10.451667	0.193272
10.453333	0.196059
10.455	0.197727
10.456667	0.199344
10.458333	0.202073
10.46	0.205925
10.461667	0.21075
10.463333	0.216452
10.465	0.221746
10.466667	0.224591
10.468333	0.224196
10.47	0.221634
10.471667	0.218684
10.473333	0.216614
10.475	0.215823
10.476667	0.216203
10.478333	0.217565
10.48	0.219869
10.481667	0.223217
10.483333	0.22728
10.485	0.231095
10.486667	0.233836
10.488333	0.235314
10.49	0.235587
10.491667	0.234688
10.493333	0.232945
10.495	0.23118
10.496667	0.230628
10.498333	0.232477
10.5	0.236752
10.501667	0.241912
10.503333	0.246277
10.505	0.249261
10.506667	0.251103
10.508333	0.252419
10.51	0.253779
10.511667	0.255353
10.513333	0.2573
10.515	0.259836
10.516667	0.262623
10.518333	0.264957
10.52	0.266664
10.521667	0.268247
10.523333	0.270041
10.525	0.271558
10.526667	0.272068
10.528333	0.271686
10.53	0.271179
10.531667	0.271237
10.533333	0.272655
10.535	0.276161
10.536667	0.281297
10.538333	0.286223
10.54	0.289175
10.541667	0.290194
10.543333	0.291067
10.545	0.293173
10.546667	0.29613
10.548333	0.298882
10.55	0.301181
10.551667	0.303793
10.553333	0.307611
10.555	0.312559
10.556667	0.317404
10.558333	0.320825
10.56	0.322522
10.561667	0.323168
10.563333	0.323834
10.565	0.325611
10.566667	0.329027
10.568333	0.333959
10.57	0.340172
10.571667	0.346791
10.573333	0.351739
10.575	0.353388
10.576667	0.352422
10.578333	0.351099
10.58	0.351065
10.581667	0.352415
10.583333	0.35454
10.585	0.356951
10.586667	0.359314
10.588333	0.361512
10.59	0.363762
10.591667	0.366655
10.593333	0.370771
10.595	0.375682
10.596667	0.38
10.598333	0.382574
10.6	0.383254
10.601667	0.383014
10.603333	0.383312
10.605	0.384954
10.606667	0.387896
10.608333	0.391981
10.61	0.397152
10.611667	0.40282
10.613333	0.407605
10.615	0.41023
10.616667	0.410922
10.618333	0.411554
10.62	0.413743
10.621667	0.417173
10.623333	0.420323
10.625	0.422237
10.626667	0.423056
10.628333	0.423236
10.63	0.422815
10.631667	0.421725
10.633333	0.420677
10.635	0.421057
10.636667	0.423803
10.638333	0.428656
10.64	0.434274
10.641667	0.439135
10.643333	0.442441
10.645	0.444014
10.646667	0.444105
10.648333	0.443913
10.65	0.445526
10.651667	0.450273
10.653333	0.457298
10.655	0.464284
10.656667	0.469086
10.658333	0.470512
10.66	0.468358
10.661667	0.463139
10.663333	0.455761
10.665	0.447239
10.666667	0.438959
10.668333	0.433086
10.67	0.431594
10.671667	0.434455
10.673333	0.43937
10.675	0.443323
10.676667	0.444246
10.678333	0.441604
10.68	0.436139
10.681667	0.429628
10.683333	0.424173
10.685	0.420969
10.686667	0.41995
10.688333	0.420256
10.69	0.420909
10.691667	0.421766
10.693333	0.42348
10.695	0.426131
10.696667	0.428594
10.698333	0.429645
10.7	0.429271
10.701667	0.428373
10.703333	0.427438
10.705	0.426124
10.706667	0.424159
10.708333	0.422308
10.71	0.421906
10.711667	0.423077
10.713333	0.424203
10.715	0.423695
10.716667	0.421509
10.718333	0.418641
10.72	0.415771
10.721667	0.412659
10.723333	0.408785
10.725	0.404305
10.726667	0.39987
10.728333	0.395734
10.73	0.391548
10.731667	0.387044
10.733333	0.382765
10.735	0.379723
10.736667	0.378256
10.738333	0.377775
10.74	0.377477
10.741667	0.376754
10.743333	0.375395
10.745	0.373717
10.746667	0.372229
10.748333	0.37127
10.75	0.370809
10.751667	0.370458
10.753333	0.369779
10.755	0.368364
10.756667	0.36576
10.758333	0.361949
10.76	0.357758
10.761667	0.354275
10.763333	0.35193
10.765	0.350239
10.766667	0.348442
10.768333	0.346435
10.77	0.34494
10.771667	0.344635
10.773333	0.345121
10.775	0.34479
10.776667	0.342186
10.778333	0.3375
10.78	0.332429
10.781667	0.328718
10.783333	0.326912
10.785	0.326322
10.786667	0.32571
10.788333	0.324083
10.79	0.321397
10.791667	0.318409
10.793333	0.315592
10.795	0.312537
10.796667	0.308571
10.798333	0.303414
10.8	0.297236
10.801667	0.290571
10.803333	0.284146
10.805	0.278805
10.806667	0.275239
10.808333	0.273368
10.81	0.272531
10.811667	0.272237
10.813333	0.272005
10.815	0.270993
10.816667	0.268683
10.818333	0.265639
10.82	0.263058
10.821667	0.261666
10.823333	0.261269
10.825	0.261249
10.826667	0.261334
10.828333	0.261714
10.83	0.262227
10.831667	0.261934
10.833333	0.260033
10.835	0.256575
10.836667	0.252163
10.838333	0.247622
10.84	0.243601
10.841667	0.239993
10.843333	0.236274
10.845	0.232641
10.846667	0.230221
10.848333	0.229832
10.85	0.230718
10.851667	0.230945
10.853333	0.229423
10.855	0.227012
10.856667	0.225454
10.858333	0.22601
10.86	0.228683
10.861667	0.232209
10.863333	0.235268
10.865	0.237406
10.866667	0.238763
10.868333	0.239767
10.87	0.240953
10.871667	0.242781
10.873333	0.24567
10.875	0.249568
10.876667	0.253626
10.878333	0.256722
10.88	0.257803
10.881667	0.256168
10.883333	0.252142
10.885	0.247034
10.886667	0.242038
10.888333	0.237609
10.89	0.233763
10.891667	0.230139
10.893333	0.226326
10.895	0.22282
10.896667	0.220788
10.898333	0.220562
10.9	0.220981
10.901667	0.220545
10.903333	0.219042
10.905	0.217425
10.906667	0.216558
10.908333	0.216841
10.91	0.218034
10.911667	0.219018
10.913333	0.218861
10.915	0.217964
10.916667	0.217254
10.918333	0.216943
10.92	0.216916
10.921667	0.217584
10.923333	0.219543
10.925	0.222657
10.926667	0.226064
10.928333	0.228978
10.93	0.23115
10.931667	0.232641
10.933333	0.233293
10.935	0.232638
10.936667	0.230753
10.938333	0.229053
10.94	0.229578
10.941667	0.233183
10.943333	0.238617
10.945	0.24345
10.946667	0.246112
10.948333	0.247081
10.95	0.247652
10.951667	0.248357
10.953333	0.249264
10.955	0.250605
10.956667	0.252461
10.958333	0.254426
10.96	0.255675
10.961667	0.255476
10.963333	0.254026
10.965	0.252256
10.966667	0.250608
10.968333	0.249004
10.97	0.247654
10.971667	0.246792
10.973333	0.246231
10.975	0.245816
10.976667	0.245901
10.978333	0.247114
10.98	0.249679
10.981667	0.252948
10.983333	0.255776
10.985	0.257534
10.986667	0.258457
10.988333	0.259044
10.99	0.259548
10.991667	0.259891
10.993333	0.259818
10.995	0.258967
10.996667	0.257004
10.998333	0.254202
11	0.251778
11.001667	0.251198
11.003333	0.252834
11.005	0.255364
11.006667	0.256976
11.008333	0.257018
11.01	0.256231
11.011667	0.256026
11.013333	0.257747
11.015	0.261917
11.016667	0.267602
11.018333	0.272818
11.02	0.276195
11.021667	0.278048
11.023333	0.279395
11.025	0.280443
11.026667	0.280816
11.028333	0.28087
11.03	0.281702
11.031667	0.283939
11.033333	0.287113
11.035	0.290036
11.036667	0.29183
11.038333	0.292599
11.04	0.292864
11.041667	0.293062
11.043333	0.293759
11.045	0.295523
11.046667	0.298581
11.048333	0.302814
11.05	0.307699
11.051667	0.312273
11.053333	0.315708
11.055	0.318114
11.056667	0.320355
11.058333	0.322892
11.06	0.325109
11.061667	0.325884
11.063333	0.324715
11.065	0.322385
11.066667	0.320455
11.068333	0.320267
11.07	0.322271
11.071667	0.325786
11.073333	0.329662
11.075	0.333292
11.076667	0.336546
11.078333	0.339087
11.08	0.340285
11.081667	0.339754
11.083333	0.338171
11.085	0.337528
11.086667	0.339831
11.088333	0.345431
11.09	0.352991
11.091667	0.36044
11.093333	0.365757
11.095	0.367921
11.096667	0.36751
11.098333	0.366091
11.1	0.364893
11.101667	0.364174
11.103333	0.363646
11.105	0.363172
11.106667	0.362967
11.108333	0.363372
11.11	0.364645
11.111667	0.366861
11.113333	0.36969
11.115	0.372132
11.116667	0.373066
11.118333	0.372475
11.12	0.371503
11.121667	0.371239
11.123333	0.372012
11.125	0.373684
11.126667	0.376162
11.128333	0.379538
11.13	0.383955
11.131667	0.389268
11.133333	0.394728
11.135	0.399482
11.136667	0.403528
11.138333	0.407593
11.14	0.412019
11.141667	0.416222
11.143333	0.418877
11.145	0.418702
11.146667	0.415859
11.148333	0.412183
11.15	0.409597
11.151667	0.40886
11.153333	0.409488
11.155	0.410343
11.156667	0.410843
11.158333	0.411473
11.16	0.412977
11.161667	0.415667
11.163333	0.419273
11.165	0.423022
11.166667	0.426246
11.168333	0.428981
11.17	0.43168
11.171667	0.434573
11.173333	0.437518
11.175	0.440357
11.176667	0.443179
11.178333	0.446143
11.18	0.449232
11.181667	0.452317
11.183333	0.455262
11.185	0.457912
11.186667	0.460638
11.188333	0.464346
11.19	0.469068
11.191667	0.47358
11.193333	0.476859
11.195	0.47896
11.196667	0.480506
11.198333	0.482142
11.2	0.484346
11.201667	0.487094
11.203333	0.489998
11.205	0.49288
11.206667	0.495699
11.208333	0.498509
11.21	0.501688
11.211667	0.505291
11.213333	0.508574
11.215	0.511196
11.216667	0.514226
11.218333	0.518898
11.22	0.524876
11.221667	0.530571
11.223333	0.534792
11.225	0.537662
11.226667	0.539915
11.228333	0.541342
11.23	0.540694
11.231667	0.537696
11.233333	0.534394
11.235	0.53377
11.236667	0.537136
11.238333	0.54317
11.24	0.549524
11.241667	0.554942
11.243333	0.559618
11.245	0.564202
11.246667	0.568963
11.248333	0.573354
11.25	0.576284
11.251667	0.577328
11.253333	0.577405
11.255	0.578027
11.256667	0.58035
11.258333	0.584877
11.26	0.591291
11.261667	0.598209
11.263333	0.60365
11.265	0.606374
11.266667	0.606937
11.268333	0.60722
11.27	0.608679
11.271667	0.611195
11.273333	0.613622
11.275	0.614911
11.276667	0.614988
11.278333	0.615206
11.28	0.617389
11.281667	0.622084
11.283333	0.628214
11.285	0.634257
11.286667	0.639534
11.288333	0.64431
11.29	0.648719
11.291667	0.652658
11.293333	0.656709
11.295	0.661623
11.296667	0.66699
11.298333	0.671581
11.3	0.675007
11.301667	0.678016
11.303333	0.681072
11.305	0.684019
11.306667	0.687088
11.308333	0.690798
11.31	0.695136
11.311667	0.699719
11.313333	0.704349
11.315	0.708935
11.316667	0.713158
11.318333	0.716407
11.32	0.718128
11.321667	0.718496
11.323333	0.718569
11.325	0.719474
11.326667	0.721826
11.328333	0.726045
11.33	0.732028
11.331667	0.738166
11.333333	0.742338
11.335	0.744
11.336667	0.744407
11.338333	0.745257
11.34	0.747427
11.341667	0.750779
11.343333	0.754677
11.345	0.758791
11.346667	0.763912
11.348333	0.77105
11.35	0.779581
11.351667	0.787426
11.353333	0.792863
11.355	0.795796
11.356667	0.797384
11.358333	0.798718
11.36	0.800463
11.361667	0.803121
11.363333	0.806652
11.365	0.810362
11.366667	0.813575
11.368333	0.816322
11.37	0.81934
11.371667	0.823151
11.373333	0.827592
11.375	0.832323
11.376667	0.836865
11.378333	0.840515
11.38	0.843147
11.381667	0.845537
11.383333	0.848414
11.385	0.851632
11.386667	0.854328
11.388333	0.855463
11.39	0.854514
11.391667	0.85208
11.393333	0.849695
11.395	0.849121
11.396667	0.851415
11.398333	0.855931
11.4	0.860533
11.401667	0.863251
11.403333	0.863797
11.405	0.863846
11.406667	0.865846
11.408333	0.870975
11.41	0.878127
11.411667	0.884933
11.413333	0.889573
11.415	0.891641
11.416667	0.891904
11.418333	0.891677
11.42	0.891985
11.421667	0.892851
11.423333	0.893521
11.425	0.893605
11.426667	0.893752
11.428333	0.894859
11.43	0.896995
11.431667	0.899301
11.433333	0.90069
11.435	0.900766
11.436667	0.899879
11.438333	0.89835
11.44	0.896233
11.441667	0.893683
11.443333	0.891121
11.445	0.889165
11.446667	0.888395
11.448333	0.888711
11.45	0.889253
11.451667	0.889486
11.453333	0.889608
11.455	0.889736
11.456667	0.889634
11.458333	0.88933
11.46	0.889348
11.461667	0.889754
11.463333	0.889782
11.465	0.889027
11.466667	0.887824
11.468333	0.886381
11.47	0.884911
11.471667	0.884247
11.473333	0.884943
11.475	0.886092
11.476667	0.886087
11.478333	0.884161
11.48	0.880719
11.481667	0.876876
11.483333	0.873751
11.485	0.871705
11.486667	0.87032
11.488333	0.868851
11.49	0.866662
11.491667	0.863782
11.493333	0.860941
11.495	0.858784
11.496667	0.857532
11.498333	0.857544
11.5	0.859466
11.501667	0.863306
11.503333	0.867631
11.505	0.87
11.506667	0.868486
11.508333	0.863068
11.51	0.855535
11.511667	0.848289
11.513333	0.843106
11.515	0.840192
11.516667	0.838207
11.518333	0.835642
11.52	0.832117
11.521667	0.828021
11.523333	0.823613
11.525	0.819013
11.526667	0.814377
11.528333	0.809708
11.53	0.804946
11.531667	0.800141
11.533333	0.795229
11.535	0.790224
11.536667	0.785665
11.538333	0.78187
11.54	0.778292
11.541667	0.77438
11.543333	0.770241
11.545	0.766286
11.546667	0.762633
11.548333	0.758698
11.55	0.753592
11.551667	0.74735
11.553333	0.741168
11.555	0.735892
11.556667	0.730805
11.558333	0.724357
11.56	0.716015
11.561667	0.70694
11.563333	0.698472
11.565	0.690948
11.566667	0.684462
11.568333	0.679466
11.57	0.676333
11.571667	0.674564
11.573333	0.672534
11.575	0.668859
11.576667	0.663745
11.578333	0.658234
11.58	0.652862
11.581667	0.647404
11.583333	0.64115
11.585	0.63382
11.586667	0.626809
11.588333	0.622151
11.59	0.619789
11.591667	0.617523
11.593333	0.61368
11.595	0.608129
11.596667	0.601041
11.598333	0.592561
11.6	0.583421
11.601667	0.574503
11.603333	0.566162
11.605	0.558504
11.606667	0.551923
11.608333	0.547241
11.61	0.545257
11.611667	0.545857
11.613333	0.547575
11.615	0.548399
11.616667	0.547309
11.618333	0.544866
11.62	0.542226
11.621667	0.540149
11.623333	0.538831
11.625	0.537923
11.626667	0.536713
11.628333	0.534484
11.63	0.531149
11.631667	0.527629
11.633333	0.525051
11.635	0.523695
11.636667	0.523383
11.638333	0.524385
11.64	0.526815
11.641667	0.529811
11.643333	0.53218
11.645	0.533293
11.646667	0.53318
11.648333	0.532031
11.65	0.530041
11.651667	0.527894
11.653333	0.526632
11.655	0.526891
11.656667	0.528488
11.658333	0.530314
11.66	0.530695
11.661667	0.528409
11.663333	0.523622
11.665	0.517934
11.666667	0.513406
11.668333	0.511297
11.67	0.511606
11.671667	0.51362
11.673333	0.51683
11.675	0.520996
11.676667	0.525131
11.678333	0.5274
11.68	0.526708
11.681667	0.523683
11.683333	0.519756
11.685	0.515907
11.686667	0.512639
11.688333	0.51028
11.69	0.509092
11.691667	0.509552
11.693333	0.511818
11.695	0.514829
11.696667	0.517065
11.698333	0.517862
11.7	0.517337
11.701667	0.515817
11.703333	0.51383
11.705	0.51218
11.706667	0.511684
11.708333	0.512556
11.71	0.514201
11.711667	0.515807
11.713333	0.516428
11.715	0.515013
11.716667	0.511513
11.718333	0.507275
11.72	0.503883
11.721667	0.502175
11.723333	0.502126
11.725	0.502813
11.726667	0.502585
11.728333	0.500038
11.73	0.494856
11.731667	0.487714
11.733333	0.479965
11.735	0.472997
11.736667	0.467341
11.738333	0.462548
11.74	0.457791
11.741667	0.452537
11.743333	0.446978
11.745	0.442037
11.746667	0.438855
11.748333	0.438053
11.75	0.439249
11.751667	0.44118
11.753333	0.442443
11.755	0.441972
11.756667	0.438888
11.758333	0.432762
11.76	0.42443
11.761667	0.41588
11.763333	0.408978
11.765	0.404331
11.766667	0.401131
11.768333	0.39833
11.77	0.395819
11.771667	0.393756
11.773333	0.39165
11.775	0.388825
11.776667	0.38507
11.778333	0.38099
11.78	0.377678
11.781667	0.375565
11.783333	0.373831
11.785	0.371265
11.786667	0.367868
11.788333	0.365004
11.79	0.36372
11.791667	0.363659
11.793333	0.363337
11.795	0.361038
11.796667	0.355917
11.798333	0.348429
11.8	0.339924
11.801667	0.332236
11.803333	0.326969
11.805	0.324317
11.806667	0.322936
11.808333	0.32111
11.81	0.317779
11.811667	0.312941
11.813333	0.307463
11.815	0.302034
11.816667	0.296411
11.818333	0.290065
11.82	0.28302
11.821667	0.275954
11.823333	0.269782
11.825	0.264942
11.826667	0.261207
11.828333	0.258169
11.83	0.255512
11.831667	0.252996
11.833333	0.250514
11.835	0.248027
11.836667	0.24519
11.838333	0.241352
11.84	0.236315
11.841667	0.230691
11.843333	0.225125
11.845	0.219682
11.846667	0.214435
11.848333	0.209976
11.85	0.206536
11.851667	0.203361
11.853333	0.199978
11.855	0.197074
11.856667	0.19542
11.858333	0.194866
11.86	0.194444
11.861667	0.193352
11.863333	0.192073
11.865	0.19193
11.866667	0.193331
11.868333	0.195039
11.87	0.195147
11.871667	0.192548
11.873333	0.187727
11.875	0.182368
11.876667	0.177871
11.878333	0.174329
11.88	0.171124
11.881667	0.167787
11.883333	0.164041
11.885	0.15955
11.886667	0.153979
11.888333	0.147578
11.89	0.141362
11.891667	0.135954
11.893333	0.130938
11.895	0.126195
11.896667	0.12266
11.898333	0.121054
11.9	0.120932
11.901667	0.121416
11.903333	0.121945
11.905	0.121991
11.906667	0.1211
11.908333	0.119361
11.91	0.116999
11.911667	0.114016
11.913333	0.110511
11.915	0.106709
11.916667	0.102883
11.918333	0.099388
11.92	0.096176
11.921667	0.092594
11.923333	0.088307
11.925	0.083955
11.926667	0.080555
11.928333	0.078776
11.93	0.07878
11.931667	0.080201
11.933333	0.081992
11.935	0.082804
11.936667	0.08214
11.938333	0.080771
11.94	0.079788
11.941667	0.079613
11.943333	0.079782
11.945	0.079406
11.946667	0.077783
11.948333	0.074656
11.95	0.070373
11.951667	0.065977
11.953333	0.062549
11.955	0.06046
11.956667	0.059566
11.958333	0.059571
11.96	0.05997
11.961667	0.060174
11.963333	0.059816
11.965	0.058717
11.966667	0.05682
11.968333	0.054268
11.97	0.051459
11.971667	0.049029
11.973333	0.047606
11.975	0.047813
11.976667	0.050264
11.978333	0.054473
11.98	0.058003
11.981667	0.058232
11.983333	0.054807
11.985	0.049622
11.986667	0.045118
11.988333	0.042773
11.99	0.042592
11.991667	0.043722
11.993333	0.045228
11.995	0.046403
11.996667	0.04674
11.998333	0.045868
12	0.043639
12.001667	0.040221
12.003333	0.036077
12.005	0.031806
12.006667	0.027901
12.008333	0.024579
12.01	0.021877
12.011667	0.019912
12.013333	0.018824
12.015	0.018594
12.016667	0.018929
12.018333	0.019313
12.02	0.01954
12.021667	0.020164
12.023333	0.021741
12.025	0.023589
12.026667	0.024095
12.028333	0.022264
12.03	0.018359
12.031667	0.013624
12.033333	0.00987
12.035	0.008468
12.036667	0.009415
12.038333	0.011849
12.04	0.014958
12.041667	0.017806
12.043333	0.019247
12.045	0.01885
12.046667	0.017159
12.048333	0.014859
12.05	0.012485
12.051667	0.010771
12.053333	0.010313
12.055	0.010824
12.056667	0.011114
12.058333	0.010157
12.06	0.008118
12.061667	0.00582
12.063333	0.003582
12.065	0.001421
12.066667	0.000012
12.068333	0.000225
12.07	0.001651
12.071667	0.00265
12.073333	0.002122
12.075	0.000414
12.076667	-0.001856
12.078333	-0.004731
12.08	-0.008218
12.081667	-0.011568
12.083333	-0.013916
12.085	-0.01537
12.086667	-0.016612
12.088333	-0.017645
12.09	-0.017933
12.091667	-0.01783
12.093333	-0.018935
12.095	-0.022093
12.096667	-0.025849
12.098333	-0.027871
12.1	-0.027173
12.101667	-0.024736
12.103333	-0.022127
12.105	-0.019785
12.106667	-0.017417
12.108333	-0.015533
12.11	-0.015157
12.111667	-0.016237
12.113333	-0.017524
12.115	-0.018001
12.116667	-0.017746
12.118333	-0.017646
12.12	-0.018302
12.121667	-0.018803
12.123333	-0.017614
12.125	-0.014792
12.126667	-0.011935
12.128333	-0.010481
12.13	-0.010926
12.131667	-0.013221
12.133333	-0.017255
12.135	-0.022587
12.136667	-0.028165
12.138333	-0.032911
12.14	-0.036361
12.141667	-0.038605
12.143333	-0.039903
12.145	-0.040147
12.146667	-0.0387
12.148333	-0.034995
12.15	-0.029207
12.151667	-0.022816
12.153333	-0.018462
12.155	-0.018033
12.156667	-0.021153
12.158333	-0.02618
12.16	-0.031599
12.161667	-0.036219
12.163333	-0.03943
12.165	-0.041486
12.166667	-0.042767
12.168333	-0.043048
12.17	-0.042202
12.171667	-0.040945
12.173333	-0.039991
12.175	-0.039152
12.176667	-0.037702
12.178333	-0.035066
12.18	-0.031317
12.181667	-0.027517
12.183333	-0.025308
12.185	-0.025932
12.186667	-0.029447
12.188333	-0.034314
12.19	-0.038042
12.191667	-0.039019
12.193333	-0.0375
12.195	-0.035078
12.196667	-0.033729
12.198333	-0.034701
12.2	-0.037914
12.201667	-0.042488
12.203333	-0.047463
12.205	-0.052058
12.206667	-0.055905
12.208333	-0.059363
12.21	-0.062813
12.211667	-0.06537
12.213333	-0.065506
12.215	-0.062976
12.216667	-0.059011
12.218333	-0.054944
12.22	-0.051357
12.221667	-0.048314
12.223333	-0.046051
12.225	-0.045019
12.226667	-0.045027
12.228333	-0.044945
12.23	-0.043814
12.231667	-0.041911
12.233333	-0.040383
12.235	-0.040333
12.236667	-0.042304
12.238333	-0.046031
12.24	-0.05093
12.241667	-0.056645
12.243333	-0.062326
12.245	-0.066358
12.246667	-0.067698
12.248333	-0.066529
12.25	-0.063754
12.251667	-0.060743
12.253333	-0.058944
12.255	-0.059183
12.256667	-0.061338
12.258333	-0.064466
12.26	-0.067174
12.261667	-0.068138
12.263333	-0.066871
12.265	-0.064242
12.266667	-0.061989
12.268333	-0.061699
12.27	-0.063877
12.271667	-0.067513
12.273333	-0.071012
12.275	-0.073495
12.276667	-0.074714
12.278333	-0.074521
12.28	-0.07307
12.281667	-0.071252
12.283333	-0.070368
12.285	-0.070921
12.286667	-0.072496
12.288333	-0.074864
12.29	-0.077691
12.291667	-0.079422
12.293333	-0.078091
12.295	-0.07329
12.296667	-0.066729
12.298333	-0.060862
12.3	-0.057426
12.301667	-0.057289
12.303333	-0.060506
12.305	-0.065857
12.306667	-0.071168
12.308333	-0.074613
12.31	-0.07555
12.311667	-0.0746
12.313333	-0.073191
12.315	-0.072299
12.316667	-0.071758
12.318333	-0.071119
12.32	-0.070258
12.321667	-0.069199
12.323333	-0.068352
12.325	-0.06852
12.326667	-0.069981
12.328333	-0.072012
12.33	-0.073732
12.331667	-0.074967
12.333333	-0.075857
12.335	-0.076212
12.336667	-0.076042
12.338333	-0.076151
12.34	-0.077085
12.341667	-0.078245
12.343333	-0.079106
12.345	-0.080294
12.346667	-0.082608
12.348333	-0.085869
12.35	-0.089134
12.351667	-0.091356
12.353333	-0.091733
12.355	-0.090348
12.356667	-0.088258
12.358333	-0.086318
12.36	-0.084689
12.361667	-0.083528
12.363333	-0.083052
12.365	-0.083003
12.366667	-0.082677
12.368333	-0.081545
12.37	-0.079894
12.371667	-0.078852
12.373333	-0.079448
12.375	-0.081688
12.376667	-0.084595
12.378333	-0.087039
12.38	-0.088543
12.381667	-0.089261
12.383333	-0.089535
12.385	-0.089529
12.386667	-0.088712
12.388333	-0.086078
12.39	-0.081942
12.391667	-0.078513
12.393333	-0.077598
12.395	-0.078938
12.396667	-0.08109
12.398333	-0.082695
12.4	-0.083278
12.401667	-0.083569
12.403333	-0.084769
12.405	-0.087381
12.406667	-0.090872
12.408333	-0.094208
12.41	-0.096359
12.411667	-0.096747
12.413333	-0.095654
12.415	-0.093884
12.416667	-0.092105
12.418333	-0.090765
12.42	-0.090146
12.421667	-0.090242
12.423333	-0.090669
12.425	-0.090874
12.426667	-0.090635
12.428333	-0.090071
12.43	-0.08919
12.431667	-0.088032
12.433333	-0.087001
12.435	-0.08632
12.436667	-0.085588
12.438333	-0.084275
12.44	-0.082215
12.441667	-0.079448
12.443333	-0.075885
12.445	-0.071467
12.446667	-0.066708
12.448333	-0.062671
12.45	-0.060322
12.451667	-0.060131
12.453333	-0.061854
12.455	-0.064406
12.456667	-0.066393
12.458333	-0.067218
12.46	-0.067682
12.461667	-0.069221
12.463333	-0.072546
12.465	-0.077295
12.466667	-0.082497
12.468333	-0.087164
12.47	-0.090792
12.471667	-0.093047
12.473333	-0.093551
12.475	-0.092714
12.476667	-0.09169
12.478333	-0.090992
12.48	-0.08995
12.481667	-0.087873
12.483333	-0.08523
12.485	-0.083129
12.486667	-0.082167
12.488333	-0.082316
12.49	-0.083132
12.491667	-0.083862
12.493333	-0.083847
12.495	-0.082813
12.496667	-0.080852
12.498333	-0.078418
12.5	-0.076448
12.501667	-0.07618
12.503333	-0.078407
12.505	-0.082754
12.506667	-0.087344
12.508333	-0.089625
12.51	-0.088624
12.511667	-0.085924
12.513333	-0.083827
12.515	-0.083352
12.516667	-0.084008
12.518333	-0.084581
12.52	-0.083911
12.521667	-0.081617
12.523333	-0.07871
12.525	-0.077148
12.526667	-0.07829
12.528333	-0.081921
12.53	-0.086578
12.531667	-0.090589
12.533333	-0.093189
12.535	-0.094689
12.536667	-0.095614
12.538333	-0.096258
12.54	-0.096697
12.541667	-0.096607
12.543333	-0.095565
12.545	-0.093818
12.546667	-0.09214
12.548333	-0.090597
12.55	-0.088269
12.551667	-0.08489
12.553333	-0.08192
12.555	-0.081327
12.556667	-0.083896
12.558333	-0.088712
12.56	-0.093549
12.561667	-0.096025
12.563333	-0.095253
12.565	-0.092626
12.566667	-0.090474
12.568333	-0.089694
12.57	-0.089244
12.571667	-0.088263
12.573333	-0.08757
12.575	-0.088147
12.576667	-0.0894
12.578333	-0.090166
12.58	-0.090426
12.581667	-0.091274
12.583333	-0.093749
12.585	-0.097812
12.586667	-0.102215
12.588333	-0.10526
12.59	-0.106025
12.591667	-0.105105
12.593333	-0.1039
12.595	-0.103212
12.596667	-0.102824
12.598333	-0.102148
12.6	-0.101007
12.601667	-0.09985
12.603333	-0.099223
12.605	-0.099038
12.606667	-0.098677
12.608333	-0.098076
12.61	-0.098028
12.611667	-0.099251
12.613333	-0.101837
12.615	-0.105239
12.616667	-0.10834
12.618333	-0.109996
12.62	-0.10979
12.621667	-0.108285
12.623333	-0.106601
12.625	-0.105578
12.626667	-0.105134
12.628333	-0.104535
12.63	-0.103397
12.631667	-0.101995
12.633333	-0.100772
12.635	-0.099952
12.636667	-0.099171
12.638333	-0.097578
12.64	-0.094898
12.641667	-0.092376
12.643333	-0.091849
12.645	-0.093468
12.646667	-0.095564
12.648333	-0.096755
12.65	-0.096788
12.651667	-0.096195
12.653333	-0.096374
12.655	-0.098523
12.656667	-0.101767
12.658333	-0.103957
12.66	-0.104191
12.661667	-0.10306
12.663333	-0.101411
12.665	-0.099784
12.666667	-0.097941
12.668333	-0.095177
12.67	-0.091683
12.671667	-0.088902
12.673333	-0.088307
12.675	-0.090152
12.676667	-0.093436
12.678333	-0.096784
12.68	-0.099341
12.681667	-0.101313
12.683333	-0.103716
12.685	-0.107097
12.686667	-0.110619
12.688333	-0.112943
12.69	-0.113763
12.691667	-0.113986
12.693333	-0.114717
12.695	-0.116468
12.696667	-0.118867
12.698333	-0.120679
12.7	-0.120866
12.701667	-0.119743
12.703333	-0.1184
12.705	-0.117594
12.706667	-0.117602
12.708333	-0.118441
12.71	-0.119755
12.711667	-0.12065
